epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571830285613,2019-10-23T12.31.25.613 pm,2.459,-0.427,-0.671,-0.366
1571830285624,2019-10-23T12.31.25.624 pm,2.470,-0.427,-0.610,-0.305
1571830285634,2019-10-23T12.31.25.634 pm,2.480,-0.366,-0.610,-0.427
1571830285644,2019-10-23T12.31.25.644 pm,2.490,-0.488,-0.488,-0.366
1571830285654,2019-10-23T12.31.25.654 pm,2.500,-0.488,-0.549,-0.427
1571830285665,2019-10-23T12.31.25.665 pm,2.511,-0.549,-0.610,-0.488
1571830285673,2019-10-23T12.31.25.673 pm,2.519,-0.488,-0.549,-0.427
1571830285684,2019-10-23T12.31.25.684 pm,2.530,-0.549,-0.610,-0.366
1571830285694,2019-10-23T12.31.25.694 pm,2.540,-0.549,-0.610,-0.366
1571830285704,2019-10-23T12.31.25.704 pm,2.550,-0.427,-0.610,-0.427
1571830285714,2019-10-23T12.31.25.714 pm,2.560,-0.427,-0.732,-0.366
1571830285725,2019-10-23T12.31.25.725 pm,2.571,-0.427,-0.671,-0.305
1571830285733,2019-10-23T12.31.25.733 pm,2.579,-0.427,-0.610,-0.366
1571830285744,2019-10-23T12.31.25.744 pm,2.590,-0.488,-0.549,-0.366
1571830285754,2019-10-23T12.31.25.754 pm,2.600,-0.549,-0.549,-0.366
1571830285764,2019-10-23T12.31.25.764 pm,2.610,-0.549,-0.610,-0.427
1571830285774,2019-10-23T12.31.25.774 pm,2.620,-0.488,-0.549,-0.366
1571830285785,2019-10-23T12.31.25.785 pm,2.631,-0.549,-0.549,-0.366
1571830285795,2019-10-23T12.31.25.795 pm,2.641,-0.488,-0.610,-0.427
1571830285804,2019-10-23T12.31.25.804 pm,2.650,-0.488,-0.671,-0.427
1571830285814,2019-10-23T12.31.25.814 pm,2.660,-0.427,-0.671,-0.427
1571830285824,2019-10-23T12.31.25.824 pm,2.670,-0.549,-0.610,-0.305
1571830285835,2019-10-23T12.31.25.835 pm,2.681,-0.427,-0.671,-0.488
1571830285845,2019-10-23T12.31.25.845 pm,2.691,-0.427,-0.732,-0.488
